 ,"TITULAR
35,,,DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE CHIHUAHUA,LIC. MAR÷A EUGENIA GALVµN ANTILL‡N,Paraestatal,https://difchihuahua.gob.mx/Estatuto_Organico_DIF_ESTATAL.pdf,https://drive.google.com/file/d/1MWa7oyNw9n8mYd5T1qIb6mBI1MO82dJ-/view,Octubre 2024,PUBLICADO,06-dic-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-12/ANEXO%2098-2025%20ESTATUTO%20ORG%C3%81NICO%20DIF%20CHIHUAHUA.pdf,,,,,
36,,,EL COLEGIO DE CHIHUAHUA,DR. JUAN MIGUEL ORTA VêLEZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/119.pdf,https://drive.google.com/file/d/1p5ah4zAsK6Er3uXr7NgBSYxpB23L5tR9/view,Mayo 2024,PUBLICADO,28-jun-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-06/ANEXO%2052-2025%20ESTATUTO%20ORG%C3%81NICO%20COLEGIO%20CHIHUAHUA.pdf,,,,,
37,,,ESCUELA NORMAL SUPERIOR DEL ESTADO PROFESOR J. E. MEDRANO,MTRO. JULIO CêSAR L‡PEZ,Paraestatal,http://ensech.edu.mx/documentos/pdf/acuerdo%20creacion.pdf,"
https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ENSECH/ESTRUCTURA%20ENSECH.pdf",Mayo 2022,SIN PUBLICAR,,,,,,,
38,,,FIDEICOMISO DE PUENTES FRONTERIZOS,C.P. ROGELIO ANTONIO FERNµNDEZ IRIGOYEN,Paraestatal,https://drive.google.com/file/d/1JFyMPfZZIb2O2f51GIKwU27U-X9ye_YF/view,https://drive.google.com/file/d/12TLrVwY38inVKahOi0AN2pbwgfurNgTD/view,Abril 2024,SIN PUBLICAR,,,,,,,
39,,,FIDEICOMISO ESTATAL PARA EL FOMENTO DE LAS ACTIVIDADES PRODUCTIVAS EN EL ESTADO DE CHIHUAHUA,LIC. JUAN ROBERTO MART÷NEZ ARAIZA,Paraestatal,http://www.chihuahua.com.mx/Transparencia/Pdf/fideapech/Viaticos/Contrato%20fideicomiso%20y%20modificaciones.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/FIDEAPECH/ESTRUCTURA%20FIDEAPECH.pdf,Octubre 2019,PUBLICADO,12-jun-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_47-2021_estatuto_organico_del_fideicomiso_estatal_para_el_fomento_de_las_actividades_productivas_en_el_estado_de_chihuahua.pdf,,,,,
40,,,FOMENTO Y DESARROLLO ARTESANAL DEL ESTADO DE CHIHUAHUA,C. MIGUEL µNGEL MIRAMONTES SOLIS,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/decretos/archivosDecretos/6268.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/FODARCH/ESTRUCTURA%20FODARCH.pdf,Junio 2019,PUBLICADO,19-dic-20,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_102-2020_estatuto_de_fomento_y_desarrollo_artesanal__0.pdf,,,,,
41,,,INSTITUTO CHIHUAHUENSE DE EDUCACI‡N PARA LOS ADULTOS,LIC. MARTINA GABALD‡N HERNµNDEZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/127.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHEA/ESTRUCTURA%20ICHEA.pdf,Julio 2019,PUBLICADO,31-mar-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_26-2021_estatuto_organico_del_instituto_chihuahuense_de_educacion_para_los_adultos.pdf,,,,,
42,,,INSTITUTO CHIHUAHUENSE DE INFRAESTRUCTURA F÷SICA EDUCATIVA,LIC. RAÈL GARC÷A RU÷Z,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/131.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHIFE/ESTRUCTURA%20ICHIFE.pdf,Julio 2019,SIN PUBLICAR,,,,,,,
43,,,INSTITUTO CHIHUAHUENSE DE LA JUVENTUD,LIC. FERNANDA JAZM÷N MART÷NEZ QUINTERO,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/129.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHIJUV/ESTRUCTURA%20ICHIJUV.pdf,Junio 2023,PUBLICADO,07-ago-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_63-2020_estatuto_organico_del_instituto_chihuahuense_de_la_juventud.pdf,,,,,
44,,,INSTITUTO CHIHUAHUENSE DE LA MUJERES,LIC. NEYRA GEORGINA REGALADO GUTIêRREZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/130.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHM/ESTRUCTURA%20ICHM.pdf,Junio 2019,PUBLICADO,10-ago-19,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_64-2019_reglamento_interior_de_las_mujeres.pdf,"Por la naturaleza del ente le corresponde tener Estatuto Org†nico de acuerdo a la Ley de Entidades Paraestatales, sin embargo, en su publicaci¢n se le denomina Reglamento Interior",,,,
45,,,INSTITUTO CHIHUAHUENSE DE SALUD,LIC. GILBERTO BAEZA MENDOZA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/132.pdf,https://drive.google.com/file/d/1owpSMChQ6Kb7MSJGkhg8MzIv4wgqhdek/view,Abril 2024,PUBLICADO,11-sept-02,https://www.congresochihuahua2.gob.mx/biblioteca/reglamentos/archivosReglamentos/44.pdf,"El £ltimo organigrama autorizado por la SFP es de 2024, sin embargo no ha sido publicado por la dependencia en su p†gina de transparencia",,,,
46,,,INSTITUTO CHIHUAHUENSE DEL DEPORTE Y CULTURA F÷SICA,LIC. TANIA TEPORACA ROMERO DEL HIERRO,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/149.pdf,https://drive.google.com/file/d/1Rhsg1rGtxdERDvws-lNFT_19l-3xmrtc/view,Enero 2025,SIN PUBLICAR,,,,,,,
47,,,INSTITUTO DE APOYO AL DESARROLLO TECNOL‡GICO,ING. SERGIO MANCINAS PE•A,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/135.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/INADET/ESTRUCTURA%20INADET.pdf,Julio 2022,PUBLICADO,19-ene-22,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_06-2022_estatuto_organico_instituto_de_apoyo_al_desarrollo_tecnologico.pdf,,,,,
48,,,INSTITUTO DE CAPACITACI‡N PARA EL TRABAJO DEL ESTADO DE CHIHUAHUA,LIC. JOSê ARTURO MORALES REYES,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/133.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICATECH/ESTRUCTURA%20ICATECH.pdf,Octubre 2019,PUBLICADO,30-oct-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_87-2021_instituto_de_capacitacion_para_el_trabajo_del_estado_de_chihuahua-2021.pdf,,,,,
49,,,INSTITUTO DE INNOVACI‡N Y COMPETITIVIDAD,MTRO. RAÈL VARELA TENA,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1422.pdf,https://drive.google.com/file/d/1AZ7C6PI6qs8LoOxwAShaj_u82W7rg0IL/view,Octubre 2024,SIN PUBLICAR,,,,,,,
50,,,INSTITUTO TECNOL‡GICO SUPERIOR DE NUEVO CASAS GRANDES,LIC. JESÈS PE•A GALµZ,Paraestatal,http://adjuntos.chihuahua.gob.mx/SGG/77/33/2017/3ertrim/CONVASIGNACIOINSTTECNVOCASASGDES.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ITSNCG/ESTRUCTURA%20ITSNCG.pdf,Junio 2017,SIN PUBLICAR,,,,,,,
51,,,JUNTA CENTRAL DE AGUA Y SANEAMIENTO DEL ESTADO DE CHIHUAHUA,ING. MARIO MATA CARRASCO,Paraestatal,https://drive.google.com/file/d/108uuVXp5rAje2dT6beNNWqE9y2LXNGAm/view,https://drive.google.com/file/d/1uylUB0joQv3YK7Ummhp4-mGhCYk6XZKC/view,Julio 2025,PUBLICADO,15-mar-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-03/ANEXO%2022-2025%20JCAS%20ACUERDO%20N%C2%BA%2040-ORDINARIO-2024.pdf,,,,,
52,,,JUNTA DE ASISTENCIA SOCIAL PRIVADA EN EL ESTADO DE CHIHUAHUA,LIC. AMPARO ROSA GONZµLEZ DE LA GARZA,Paraestatal,"http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/522.pdf
art. 64",https://drive.google.com/file/d/1HktW6Hvu79DJEzxAuqX_KzdS1jRIA7Wm/view,Octubre 2024,PUBLICADO,23-ene-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_07-2021_junta_de_asistencia_social_privada_del_estado_de_chihuahua.pdf,,,,,
53,,,"OPERADORA DE TRANSPORTE VIVEBÈS CHIHUAHUA, S.A. DE C.V.",LIC. LUIS FERNANDO CHAC‡N ERIVES,Paraestatal,https://drive.google.com/file/d/1_cfi1FpmwnNl-gIxkhz04IlYrm3ZDMAz/view,https://drive.google.com/file/d/1k7bMpdvzBw63GfzsJOx-mW_32oxE-pla/view,Junio 2025,PUBLICADO,28-jul-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_60-2021_estatuto_organico_de_la_operadora_vivebus.pdf,,,,,
54,,,PARQUE CENTRAL DE CIUDAD JUµREZ,LIC. ROGELIO MU•OZ ZAPIEN,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1543.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/PCCJ/ESTRUCTURA%20PCCJ.pdf,Julio 2023,PUBLICADO,19-ago-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-08/ANEXO%2066-2023%20ESTATUTO%20ORG%C3%81NICO%20DEL%20ORGANISMO%20DESCENTRALIZADO%20DENOMINADO%20PARQUE%20CENTRAL%20JU%C3%81REZ.pdf,,,,,
55,,,PENSIONES CIVILES DEL ESTADO DE CHIHUAHUA,DR. HERIBERTO MIRANDA PêREZ,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/legislacionAbrogada/archivosPdf/6.pdf,https://drive.google.com/file/d/1DlJSAoXDacwiV54OttZ-QTDdOZMrZA4x/view,Febrero 2024,PUBLICADO,10-feb-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-02/ANEXO%2011-2024%20ACUERDO%20N%C2%B0%20002%20ESTATUTO%20ORG%C3%81NICO%20PENSIONES%20CIVILES%20DEL%20ESTADO%20DE%20CHIHUAHUA.pdf,,,,,
56,,,PROMOTORA PARA EL DESARROLLO ECON‡MICO DE CHIHUAHUA,ING. ALEJANDRO JASCHACK JµQUEZ,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/decretos/archivosDecretos/6890.pdf,https://drive.google.com/file/d/1oTle8ZFggoUz5Wzv82SGkI2Jb8I2-zQT/view,Febrero 2024,PUBLICADO,07-jun-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-06/ANEXO%2046-2025%20PRODECH%20ESTATUTO%20ORGANICO%20PROMOTORA%20DESARROLLO%20ECONOMICO%20CHIHUAHUA%20%20.pdf,,,,,
57,,,SECRETAR÷A EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCI‡N,MTRO. HECTOR JOSê VILLANUEVA ESCAMILLA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1344.pdf,https://drive.google.com/file/d/16t0OQd6lqDf6ry5vZYrcagxAxLKLswKh/view,Septiembre 2025,PUBLICADO,27-jul-19,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_60-2019_estatuto_organico_del_sistema_estatal_anticorrupcion.pdf,,,,,
58,,,SERVICIOS DE SALUD DE CHIHUAHUA,LIC. GILBERTO BAEZA MENDOZA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/160.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/SES/ESTRUCTURA%20SES.pdf,Enero 2016,SIN PUBLICAR,,,"Su £ltima reforma fue el 14 de junio de 2017. Cabe se§alar que por la naturaleza del ente le corresponde Estatuto Org†nico, sin embargo fue publicado como Reglamento Interior",,,,
59,,,SERVICIOS EDUCATIVOS DEL ESTADO DE CHIHUAHUA,TERESA DE JESÈS L‡PEZ RAM÷REZ,Paraestatal,http://www.seech.gob.mx/inai/1_Normativo/Acuerdo%20137%20de%20seech.pdf,https://drive.google.com/file/d/1cWQtjGnChOmNPO1aDhS5koJYNuPG-cNF/view,Mayo 2025,SIN PUBLICAR,,,"No se encontr¢ publicado ni en el Congreso del Estado, ni en el Peri¢dico Oficial. El que est† publicado en transparencia no tiene firmas",,,,
60,,,SUBSISTEMA DE PREPARATORIA ABIERTA Y TELEBACHILLERATO DEL ESTADO DE CHIHUAHUA,M.C. SOCORRO OLIVAS LOYA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/897.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/SPAYT/ESTRUCTURA%20SPAYT.pdf,Septiembre 2020,PUBLICADO,27-nov-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_95-2021_subsistema_de_preparatoria_abierta_y_telebachillerato_del_estado-2021.pdf,,,,,
61,,,UNIVERSIDAD PEDAG‡GICA NACIONAL DEL ESTADO DE CHIHUAHUA,LIC. GRACIELA A÷DA VELO AMPARµN,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/778.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UPNECH/ESTRUCTURA%20UPNECH.pdf,Enero 2023,PUBLICADO,24-abr-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-04/ANEXO%2033-2024%20UPN%20ACUERDO%20N%C2%BA%2006-02-23%20ESTATUTO%20ORGA%CC%81NICO.pdf,,,,,
62,,,UNIVERSIDAD POLITêCNICA DE CHIHUAHUA,CHRISTOPHER JAMES BAROUSSE,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/99.pdf,https://drive.google.com/file/d/1KD3r4fpqgC-dzIg8Cke_1OeQYlAORUoG/view,Marzo 2024,PUBLICADO,28-jun-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-06/ANEXO%2052-2025%20UPCH%20ACUERDO%20ESTATUTO%20ORGANICO-2025%202025.pdf,,,,,
63,,,UNIVERSIDAD TECNOL‡GICA DE CAMARGO,LIC. JOSê JULIO HUERTA HERRERA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/913.pdf,https://drive.google.com/file/d/1mALUC-BNAWJAZjIvEiBVp3ueaTGPWZXK/view,Septiembre 2019,SIN PUBLICAR,,,,,,,
64,,,UNIVERSIDAD TECNOL‡GICA DE CD. JUµREZ,LIC. CARLOS ERNESTO ORTIZ VILLEGAS,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/100.pdf,https://drive.google.com/file/d/1WPPD7Osich9HmapA2ZJ0qIvq2-PTQKrt/view,Marzo 2025,SIN PUBLICAR,,,,,,,
65,,,UNIVERSIDAD TECNOL‡GICA DE CHIHUAHUA,LIC. KAMEL ATHIê FLORES,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/101.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UTCH/ESTRUCTURA%20UTCH.pdf,Noviembre 2021,PUBLICADO,23-abr-11,https://chihuahua.gob.mx/sites/default/atach2/po033_2011.pdf,"No fue posible localizar el mismo documento que se encuentra en la p†gina del Congreso en la p†gina del Peri¢dico Oficial, s¢lo fue posible localizar una reforma de fecha 23 de abril de 2011. No se encontr¢ reglamento en su p†gina oficial y en la plataforma de transparencia aparece un Reglamento Interior distinto al publicado en el congreso, el cual indica la misma reforma que fue posible localizar en el p†gina del Peri¢dico Oficial. Cabe se§alar que dada la naturaleza del ente, de acuerdo a la Ley de Entidades Paraestatales le corresponde contar con un Estatuto Org†nico, sin embargo, el documento se denomina como un Reglamento Interior.",,,,
66,,,UNIVERSIDAD TECNOL‡GICA DE CHIHUAHUA SUR,LIC. LUISA YOLANDA QUI•ONES MONTENEGRO,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/911.pdf,https://drive.google.com/file/d/1XpB1cWmnldMccOdnGC3REb6mEkVW45Os/view,Mayo 2024,PUBLICADO,30-mar-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/periodicos/2024-03/PO26_2024.pdf,,,,,
67,,,UNIVERSIDAD TECNOL‡GICA DE LA BAB÷CORA,LIC. ERIK GABRIEL LOYA RUIZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/803.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UTB/ESTRUCTURA%20UTB.pdf,Septiembre 2019,SIN PUBLICAR,,,,,,,
68,,,UNIVERSIDAD TECNOL‡GICA DE LA TARAHUMARA,MTRO. CARLOS SERVANDO CHµVEZ TIZNADO,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/523.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UTT/ESTRUCTURA%20UTT.pdf,Septiembre 2019,SIN PUBLICAR,,,,,,,
69,,,UNIVERSIDAD TECNOL‡GICA DE PAQUIMê,MTRO. LUIS IVµN ORTEGA ORNELAS,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/912.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UTPAQ/ESTRUCTURA%20UTPAQ.pdf,Septiembre 2019,SIN PUBLICAR,,,,,,,
70,,,UNIVERSIDAD TECNOL‡GICA DE PARRAL,DRA. ANNA ELIZABETH CHµVEZ MATA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/804.pdf,https://drive.google.com/file/d/1w3xEdN0C9ZQ8p1ns-aqI_6SjB7TSxReT/view,Agosto 2024,PUBLICADO,03-dic-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-12/ANEXO%2097-2025%20ESTATUTO%20ORG%C3%81NICO%20DE%20LA%20UNIVERSIDAD%20TECNOL%C3%93GICA%20DE%20PARRAL.pdf,,,,,
71,,,UNIVERSIDAD TECNOL‡GICA PASO DEL NORTE,DR. ULISES MART÷NEZ CONTRERAS,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/997.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/UTPN/ESTRUCTURA%20UTPN.pdf,Septiembre 2022,SIN PUBLICAR,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
